Germany,India,Italy,South Korea,New Zealand,Singapore,Somalia,Uganda,UK,USA
10,2,2,15,0,18,0,0,2,8
12,3,2,15,0,18,0,0,8,11
12,3,2,16,0,24,0,0,8,11
12,3,2,19,0,28,0,0,9,11
12,3,2,23,0,28,0,0,9,12
13,3,3,24,0,30,0,0,9,12
13,3,3,24,0,33,0,0,13,12
14,3,3,25,0,40,0,0,14,12
14,3,3,27,0,45,0,0,14,12
16,3,3,28,0,47,0,0,15,13
16,3,3,28,0,50,0,0,16,13
16,3,3,28,0,58,0,0,17,14
16,3,3,28,0,67,0,0,18,14
16,3,3,28,0,72,0,0,18,14
16,3,3,29,0,75,0,0,18,14
16,3,3,30,0,77,0,0,19,14
16,3,3,31,0,81,0,0,19,14
16,3,3,31,0,84,0,0,20,14
16,3,3,104,0,84,0,0,22,14
16,3,20,204,0,85,0,0,23,16
16,3,62,433,0,85,0,0,23,16
16,3,155,602,0,89,0,0,28,16
16,3,229,833,0,89,0,0,30,16
17,3,322,977,0,91,0,0,34,16
27,3,453,1261,0,93,0,0,37,16
46,3,655,1766,0,93,0,0,44,17
48,3,888,2337,1,93,0,0,56,17
79,3,1128,3150,1,102,0,0,61,25
130,3,1694,3736,1,106,0,0,94,32
159,5,2036,4335,1,108,0,0,134,55
196,5,2502,5186,1,110,0,0,189,74
262,28,3089,5621,3,110,0,0,246,107
482,30,3858,6088,3,117,0,0,295,184
670,31,4636,6593,4,130,0,0,374,237
799,34,5883,7041,5,138,0,0,429,403
1040,39,7375,7314,5,150,0,0,483,519
1176,43,9172,7478,5,150,0,0,630,594
1457,56,10149,7513,5,160,0,0,889,782
1908,62,12462,7755,5,178,0,0,1301,1147
2078,73,15113,7869,5,178,0,0,1790,1586
3675,82,17660,7979,5,200,0,0,2270,2219
4585,102,21157,8086,6,212,0,0,2634,2978
5795,113,24747,8162,8,226,0,0,3077,3212
7272,119,27980,8236,8,243,1,0,3692,4679
9257,142,31506,8320,12,266,1,0,4462,6512
12327,156,35713,8413,20,313,1,0,5468,9169
15320,194,41035,8565,28,345,1,0,6534,13663
19848,244,47021,8652,39,385,1,0,7792,20030
22213,330,53578,8799,52,432,1,1,9007,26025
24873,396,59138,8961,102,455,1,1,10395,34898
29056,499,63927,8961,102,509,1,9,12744,46136
32986,536,69176,9037,155,558,1,9,15126,56755
37323,657,74386,9137,205,631,1,14,17843,68837
43938,727,80589,9241,283,683,2,14,20970,86693
50871,887,86498,9332,368,732,3,23,24219,105383
57695,987,92472,9478,451,802,3,30,27062,125013
62095,1024,97689,9583,514,844,3,33,29954,143912
66885,1251,101739,9661,589,879,3,33,34281,165987
71808,1397,105792,9786,647,926,5,44,38815,192301
77872,1998,110574,9887,708,1000,5,44,43789,224560
84794,2543,115242,9976,797,1049,5,45,48718,256792
91159,2567,119827,10062,868,1114,7,48,53699,289087
96092,3082,124632,10156,950,1189,7,48,57772,321477
100123,3588,128948,10237,1039,1309,7,52,61422,351354
103374,4778,132547,10284,1106,1375,7,52,66738,382747
107663,5311,135586,10331,1160,1481,8,52,72224,413516
113296,5916,139422,10384,1210,1623,12,53,77387,444731
118181,6725,143626,10423,1239,1910,12,53,82293,480667
122171,7598,147577,10450,1283,2108,21,53,86660,515081
124908,8446,152271,10480,1312,2299,21,53,90273,544183
127854,9205,156363,10512,1330,2532,25,54,93812,571440
130072,10453,159516,10537,1349,2918,60,54,98017,598380
131359,11487,162488,10564,1366,3252,60,55,102365,627205
134753,12322,165155,10591,1386,3699,80,55,107465,652611
137698,13430,168941,10613,1401,4427,80,55,112808,682626
141397,14352,172434,10635,1409,5050,116,56,117798,715656
143342,15722,175925,10653,1422,5992,135,55,122534,743588
145184,17615,178972,10661,1431,6588,164,55,126394,769684
147065,18539,181228,10674,1440,8014,237,56,131260,799512
